type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12689806,-71.50980223,41.12689806,-71.50980223,,FALSE,FALSE,,,5.42,,,2017/07/05 15:08:21+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:08,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12657947,-71.51011638,41.12657947,-71.51011638,,FALSE,FALSE,,,3.5,,,2017/07/05 15:08:34+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:08,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1262058,-71.51051863,41.1262058,-71.51051863,,FALSE,FALSE,,,3.5,,,2017/07/05 15:08:49+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:08,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1257883,-71.51102766,41.1257883,-71.51102766,,FALSE,FALSE,,,3.5,,,2017/07/05 15:09:07+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:09,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1254604,-71.51149403,41.1254604,-71.51149403,,FALSE,FALSE,,,3.02,,,2017/07/05 15:09:22+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:09,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1251247,-71.51195546,41.1251247,-71.51195546,,FALSE,FALSE,,,3.5,,,2017/07/05 15:09:37+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:09,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12484718,-71.51234362,41.12484718,-71.51234362,,FALSE,FALSE,,,3.02,,,2017/07/05 15:09:49+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:09,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12458684,-71.51272014,41.12458684,-71.51272014,,FALSE,FALSE,,,3.02,,,2017/07/05 15:10:01+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:10,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12426405,-71.51319883,41.12426405,-71.51319883,,FALSE,FALSE,,,2.54,,,2017/07/05 15:10:16+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:10,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12392031,-71.51370442,41.12392031,-71.51370442,,FALSE,FALSE,,,1.58,,,2017/07/05 15:10:32+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:10,,
